iter	RMSE
0	3926.541809
1	3816.383445
2	3708.761568
3	3606.287167
4	3505.45499
5	3407.577254
6	3313.234719
7	3221.536132
8	3132.470636
9	3045.885578
10	2962.263102
11	2881.965694
12	2803.865239
13	2728.089214
14	2654.685509
15	2582.94409
16	2513.74907
17	2447.399186
18	2382.666455
19	2319.178639
20	2257.820173
21	2198.91333
22	2141.383431
23	2086.150328
24	2032.664196
25	1981.090002
26	1930.821211
27	1881.688904
28	1833.896256
29	1787.35564
30	1742.539159
31	1700.472858
32	1659.18264
33	1619.114739
34	1580.152576
35	1542.327688
36	1506.16662
37	1470.889081
38	1436.540417
39	1403.670443
40	1372.413739
41	1341.886669
42	1312.907181
43	1284.346133
44	1256.619792
45	1230.100785
46	1204.722812
47	1179.822119
48	1155.919889
49	1133.607588
50	1111.868692
51	1090.685476
52	1069.704019
53	1049.975948
54	1031.444097
55	1012.900912
56	995.2206908
57	977.990925
58	961.6618332
59	945.7658885
60	930.5386488
61	916.3458439
62	902.3291346
63	888.8463692
64	876.0616667
65	864.0189787
66	851.7423161
67	840.3003636
68	829.5589417
69	819.2711298
70	809.1731203
71	799.3955661
72	790.2566674
73	781.2708117
74	772.9794035
75	764.8629873
76	757.0216052
77	749.6780189
78	742.6948996
79	736.1009897
80	729.2932702
81	722.8036619
82	716.7173788
83	711.1339082
84	705.5299952
85	700.4615812
86	695.3372637
87	690.4810478
88	685.9970833
89	681.5848909
90	677.2471141
91	673.0849498
92	669.1475233
93	665.4510383
94	661.9042852
95	658.3845537
96	654.9870994
97	651.805966
98	648.7822996
99	645.8977084
100	643.1056386
101	640.5638648
102	638.0360119
103	635.573855
104	633.2755743
105	631.1087778
106	629.0113562
107	626.8417507
108	624.8487157
109	622.8706503
110	621.0809318
111	619.4562297
112	617.8455451
113	616.1966645
114	614.6972593
115	613.310095
116	611.8801276
117	610.6192989
118	609.3339234
119	608.0424188
120	606.7673011
121	605.6642721
122	604.5187139
123	603.4814022
124	602.4474797
125	601.5455628
126	600.5056413
127	599.578135
128	598.7178877
129	597.9057632
130	597.0967507
131	596.3070671
132	595.5678071
133	594.8097511
134	594.0785077
135	593.370998
136	592.7164035
137	592.0880517
138	591.5496214
139	590.9398582
140	590.3842558
141	589.7882049
142	589.2570219
143	588.6889815
144	588.2036785
145	587.7452176
146	587.2439582
147	586.7754819
148	586.2702145
149	585.9022714
150	585.5092609
151	585.121052
152	584.7407484
153	584.4228927
154	584.0769486
155	583.6952454
156	583.3285143
157	582.9356079
158	582.6092331
159	582.331085
160	582.0227644
161	581.7290702
162	581.4124607
163	581.1790622
164	580.8802286
165	580.6127603
166	580.3048999
167	580.0337874
168	579.8369015
169	579.5458643
