iter	Passed	Remaining
0	67	40160
1	113	33977
2	157	31408
3	201	29967
4	246	29278
5	290	28727
6	334	28339
7	378	28004
8	419	27577
9	464	27413
10	510	27317
11	554	27182
12	599	27077
13	643	26945
14	688	26856
15	731	26688
16	774	26554
17	815	26380
18	858	26239
19	901	26148
20	942	25991
21	985	25886
22	1033	25937
23	1084	26017
24	1137	26170
25	1186	26194
26	1234	26208
27	1282	26196
28	1333	26263
29	1387	26360
30	1435	26349
31	1488	26416
32	1540	26468
33	1587	26422
34	1635	26405
35	1683	26367
36	1734	26397
37	1792	26516
38	1851	26632
39	1904	26661
40	1959	26710
41	2007	26677
42	2060	26692
43	2112	26694
44	2162	26667
45	2206	26577
46	2257	26562
47	2313	26599
48	2366	26610
49	2415	26568
50	2470	26593
51	2521	26571
52	2571	26537
53	2622	26516
54	2670	26459
55	2717	26399
56	2768	26369
57	2819	26346
58	2874	26354
59	2922	26304
60	2973	26272
61	3028	26282
62	3076	26227
63	3126	26184
64	3172	26115
65	3217	26033
66	3262	25954
67	3307	25875
68	3352	25799
69	3395	25711
70	3439	25630
71	3487	25577
72	3537	25536
73	3584	25479
74	3632	25425
75	3679	25366
76	3727	25315
77	3771	25243
78	3822	25207
79	3866	25130
80	3914	25080
81	3964	25045
82	4014	25005
83	4064	24969
84	4117	24947
85	4175	24954
86	4236	24983
87	4286	24938
88	4334	24884
89	4388	24865
90	4462	24959
91	4538	25059
92	4614	25156
93	4718	25398
94	4914	26123
95	5140	26985
96	5276	27360
97	5404	27684
98	5513	27902
99	5600	28003
100	5673	28030
101	5737	28012
102	5798	27977
103	5855	27926
104	5931	27960
105	5993	27932
106	6061	27929
107	6122	27893
108	6205	27952
109	6275	27953
110	6360	28019
111	6415	27954
112	6468	27877
113	6522	27807
114	6568	27703
115	6617	27609
116	6666	27521
117	6715	27430
118	6762	27333
119	6807	27229
120	6860	27158
121	6910	27075
122	6967	27018
123	7024	26965
124	7075	26888
125	7124	26801
126	7179	26740
127	7233	26671
128	7280	26582
129	7339	26536
130	7393	26470
131	7453	26426
132	7495	26317
133	7536	26210
134	7581	26113
135	7620	25999
136	7661	25893
137	7702	25786
138	7744	25683
139	7787	25586
140	7828	25484
141	7870	25386
142	7911	25284
143	7954	25188
144	7997	25094
145	8039	24998
146	8082	24906
147	8126	24818
148	8175	24745
149	8218	24655
150	8267	24582
151	8313	24501
152	8359	24422
153	8405	24342
154	8449	24257
155	8494	24175
156	8538	24092
157	8581	24007
158	8627	23930
159	8674	23854
160	8717	23771
161	8761	23689
162	8807	23613
163	8855	23542
164	8901	23468
165	8952	23405
166	9001	23340
167	9048	23268
168	9094	23192
169	9140	23120
170	9190	23057
171	9235	22982
172	9280	22907
173	9327	22835
174	9375	22768
175	9425	22706
176	9474	22643
177	9517	22565
178	9564	22495
179	9608	22419
180	9653	22347
181	9701	22281
182	9749	22215
183	9796	22147
184	9844	22083
185	9892	22018
186	9941	21956
187	9985	21882
188	10075	21909
189	10149	21901
190	10238	21925
191	10307	21904
192	10367	21862
193	10441	21852
194	10495	21798
195	10553	21752
196	10604	21694
197	10664	21651
198	10729	21621
199	10794	21589
200	10858	21554
201	10919	21514
202	10970	21455
203	11015	21383
204	11055	21302
205	11099	21228
206	11139	21148
207	11177	21065
208	11216	20984
209	11255	20902
210	11299	20831
211	11341	20757
212	11382	20681
213	11425	20607
214	11469	20539
215	11517	20475
216	11562	20407
217	11611	20346
218	11656	20279
219	11702	20212
220	11744	20141
221	11788	20072
222	11829	19999
223	11873	19931
224	11918	19864
225	11955	19785
226	11991	19703
227	12031	19629
228	12074	19560
229	12115	19490
230	12155	19417
231	12194	19342
232	12232	19267
233	12271	19193
234	12310	19120
235	12348	19046
236	12391	18979
237	12430	18906
238	12471	18837
239	12510	18765
240	12551	18696
241	12588	18623
242	12628	18553
243	12668	18483
244	12707	18412
